"Name", "Stmts", "Miss", "Cover"
"gen_kernel_module/__init__.py", "8", "0", "100%"
"gen_kernel_module/core/__init__.py", "9", "0", "100%"
"gen_kernel_module/core/model/__init__.py", "9", "0", "100%"
"gen_kernel_module/core/model/project_setup.py", "14", "0", "100%"
"gen_kernel_module/core/service/__init__.py", "9", "0", "100%"
"gen_kernel_module/core/service/engine.py", "27", "0", "100%"
"gen_kernel_module/core/service/iservice.py", "14", "0", "100%"
"gen_kernel_module/core/service/isubprocessor.py", "14", "0", "100%"
"gen_kernel_module/engine.py", "57", "0", "100%"
"gen_kernel_module/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_kernel_module/infrastructure/cli/engine.py", "39", "0", "100%"
"gen_kernel_module/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/factory.py", "35", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/opt_validator.py", "36", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/registry.py", "24", "0", "100%"
"gen_kernel_module/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_kernel_module/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_kernel_module/infrastructure/command/command.py", "16", "0", "100%"
"gen_kernel_module/infrastructure/command/gen_kernel_module_command_definition.py", "24", "0", "100%"
"gen_kernel_module/infrastructure/command/gen_kernel_module_command_executor.py", "21", "0", "100%"
"gen_kernel_module/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_kernel_module/infrastructure/command/icommand_executor.py", "13", "0", "100%"
"gen_kernel_module/infrastructure/subprocessor.py", "55", "0", "100%"
"gen_kernel_module/setup/__init__.py", "9", "0", "100%"
"gen_kernel_module/setup/bundle.py", "23", "0", "100%"
"gen_kernel_module/setup/dep_validator.py", "36", "0", "100%"
"gen_kernel_module/setup/dependencies.py", "19", "0", "100%"
"gen_kernel_module/setup/factory.py", "48", "0", "100%"
"gen_kernel_module/setup/keys.py", "27", "0", "100%"
"gen_kernel_module/setup/opt_validator.py", "34", "0", "100%"
"gen_kernel_module/setup/options.py", "12", "0", "100%"
"gen_kernel_module/setup/registry.py", "32", "0", "100%"
"gen_kernel_module/setup/validator.py", "48", "0", "100%"
"Total", "927", "0", "100%"
